n,m,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,best,avg,worst
1000,10000,7,3,5,2,1,1,2,2,1,1,1,2,7
1000,15000,3,2,0,1,2,1,1,1,0,1,0,1,3
1000,25000,2,4,1,2,0,0,0,0,0,0,0,0,4
5000,15000,0,0,0,0,0,15,0,0,0,0,0,1,15
5000,25000,16,16,15,0,0,0,0,16,0,15,0,7,16
10000,1500,0,0,0,0,0,0,0,0,16,0,0,1,16
10000,25000,0,0,0,16,0,15,0,0,0,0,0,3,16
20000,200000,63,62,31,78,63,62,78,78,62,62,31,63,78
20000,300000,93,78,94,78,94,94,32,94,63,94,32,81,94
50000,1000000,176,162,92,156,235,250,250,250,219,187,92,197,250
